index,ad,header,url,location,ad timestamp,lat,long,address,scrape_timestamp,datasource
1,"Daziran Massage TherapyCall to make appointment.1314 Westgate Parkway, Suite 4 Dothan, AlabamaWe specialize in Back Walking, Deep Tissue, Sport Massage...etc$60/hour $65/hour deep tissue, we also have 90 Mins and 2 hours session.out call only within Dothan area.Open Monday to Saturday, 10am - 9pm, Sunday 1pm - 8pmshow contact infoAll major credit cards accepted    ",***Daziran Massage***334-446-3721,https://dothan.craigslist.org/thp/d/daziran-massage/6414309726.html,"Dothan,AL",12/5/2017 21:55,31.254482,-85.434766,1314 Westgate Pkwy,52:10.4,CL1
2,"331 SPAWelcome to best asian massage. shiatsu and swedish, walk on your back , firm or relaxing massage.Great table shower.Our place is very clean and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New person,In callHalf Hr: $60.00 with table showerOne Hr: $80.00 with table showerwe do accept credit cardsopen 9 am to 10 pm , 7days a weekTel:  show contact info*from panama city or beach: one mile before to I-10 on highway 331 to your left* from Tallahassee: Left turn to highway 331 (Exit 85) , we are 1 mile from I-10 on your right side building.*I-10 from alabama(Mobil) or Pesacola Fl - right turn to highway 331 and 1mile to your right.    ","ASIAN PROFESSIONAL MASSAGE ""right off, I-10 on 331 S""",https://dothan.craigslist.org/thp/d/asian-professional-massage/6411903497.html,"defuniak,springs",12/4/2017 9:31,30.670105,-86.124229,3590 us hwy 331 S,52:11.0,CL1
3,Hi I'm Kali and i have the most wonderful relaxing body rubs in town...........pls call or text me for the rates    ,*******HEAVENLY BODY********,https://panamacity.craigslist.org/thp/d/heavenly-body/6420071467.html,"Panama,city",12/10/2017 12:23,,,,52:11.9,CL1
4,"JOUN SPA.................We do Shiatsu, Swedish & Deep-tissue Combination massageYou'll receive best quality massage in town.Half Hr: $60.00One Hr: $80.00 Include Table Showeropen 9am to 10pm We have additional parkings are back of the building and use the back entrance, pleaseOur location is between 23rd st and airport rd, behind the ""Dunkin Donuts""'Call:  show contact infoMM 37226credit card OK    ","""GRAND OPENING"" ASIAN MASAGE",https://panamacity.craigslist.org/thp/d/grand-opening-asian-masage/6419742901.html,"panama,city",12/10/2017 6:57,30.190207,-85.680699,2302 winona dr,52:12.6,CL1
5,"331 SPAWelcome to best asian massage, Shiatsu and Swedish, Walk on your back, firm or relaxing massage.Great table showerOur place is very clea and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New Person.Half Hr : $60.00One  Hr:   $80.00Open 9 am to 10 pm, 7days a weekCall:  show contact info*from the Panama city,  beach :   one mile before the I-10 on highway 331 to your left*from the Tallahassee & Mariana :           I-10 Exit 85,   left turn to 331 one mile on your right*from the  Mobil ,Crestview, Pensacola : I-10 Exit 85, right turn to 331 one mile on your right    ","ASIAN PROFESSIONAL MASSAGE ""right off, I-10 on 331 S""",https://panamacity.craigslist.org/thp/d/asian-professional-massage/6419742259.html,"defuniak,springs",12/10/2017 6:56,30.674719,-86.123371,3590 us hwy 331 S,52:13.2,CL1
6,"We offer a variety if Massage options, whether you need a relaxing Swedish Massage or need a deep tissue Massage for those sore aching muscles. We also offer Foot Reflexology for tired aching feet. If you are in a hurry, we have Chair Massage. We also have hired a new Massage Therapist. Services offered: Acupressure Chair Massage Foot Reflexology Hot Stone's Swedish Massage Deep Tissue Massage Couple's Massage offered. (By appointment only) Business Hours: 10 AM till 8 PM, 7 days a week Call for appointment, or walk in's accepted. Phone:  show contact info 2518 Hwy. 77, Suite B Lynn Haven Florida, 32444 We are located 2 miles north of Panama City Mall on Hwy. 77, Between the BP station and the Waffle House.","Lan's Massage Therapy, Lynn Haven,Panama City,Panama City Beach.",https://panamacity.craigslist.org/thp/d/lans-massage-therapy-lynn/6419700001.html,"Hwy,B,Lynn,Haven,Fl",12/10/2017 4:51,30.219374,-85.649639,hwy 77,52:13.9,CL1
7,Christmas special full body swedish and deep tissue massage 1 hour $60 plus tips for 2 weeks only for old and new clients. Monday through Friday only December 11 thru December 22nd. We offer full body waxing for women and men. Couple massages in same room and 90 min call for those prices. We accept walkins and cash or credit card. Sorry we don't accept American express. 8317 front beach rd unit 29b2show contact info we accept appointments also for therapist request.Open monday thru friday 11a to 5p and after 5p by appointment only up to 7p. For after 5p call before 3p to book after 5p appointments    ,1 hour Christmas rate 60+tip all clients,https://panamacity.craigslist.org/thp/d/1-hour-christmas-rate-60tip/6417832510.html,"Panama,City,Beach",12/8/2017 14:29,30.184683,-85.776755,8317 front beach rd unit 29b2,52:14.6,CL1
8," Would you like to experience the best pure therapeutic Asian Massage? We welcome all clients. Let us take away your pains & stress and rejuvenate your body with our professional massage. Our oil massage can ease your stress and deep massage can relax your tight and pain muscles from work.  Our place is clean. Private and comfortable. Parking is easy. Tel:  show contact info Services offered: Pain Treatment & Trigger point . Deep Tissue Massage .  Swedish Massage .  Foot Reflexology.  Couple Massage .  Acupressure. Accept major credit card  Tel:  show contact info Open: 7 Days 10:00 am ---9:00 pm  Call for appointment, or walk ins accepted. Location: 7950 Front Beach Rd , Panama City Beach , FL32407    ",---Asian Massage At PC Beach---,https://panamacity.craigslist.org/thp/d/asian-massage-at-pc-beach/6417688250.html,"Panama,City,Beach",12/8/2017 12:55,30.185853,-85.772769,7950 Front Beach Rd,52:15.4,CL1
9,"JOUN SPA.................We do Shiatsu, Swedish & Deep-tissue Combination massageYou'll receive best quality massage in town.Half Hr: $60.00One Hr: $80.00 Include Table Showeropen 9am to 10pm We have additional parkings are back of the building and use the back entrance, pleaseOur location is between 23rd st and airport rd, behind the ""Dunkin Donuts""'Call:  show contact infoMM 37226credit card OK    ","""GRAND OPENING"" ASIAN MASAGE",https://panamacity.craigslist.org/thp/d/grand-opening-asian-masage/6416635740.html,"panama,city",12/7/2017 15:57,30.190207,-85.680699,2302 winona dr,52:16.1,CL1
10,"Hi Gentlemen. Stressed? Sore? Just Need to Relax??? Come see why I have such a large clientele base. I work out of a clean, safe and private environment, with a shower in the same room & am an experienced female. I'll be available Mon-Fr Morning until 7:00/7:30pm & Sat Morning til biz slows (unless arrangements made otherwise). Let me help you Relax ALL those Stresses Completely Away. Reply to this Ad for more information. Military & Seniors Discount 60+!    ",**Holiday Special thru Dec: $10 Goes to Children's Holiday Gifts**,https://panamacity.craigslist.org/thp/d/holiday-special-thru-dec-10/6416140511.html,"East,Panama,City,Beach,Off,Thomas,Dr",12/7/2017 10:36,,,,52:16.8,CL1
11, ,,https://panamacity.craigslist.org/thp/d/newly-renovated-10-off/6415865527.html,, ,,,,52:17.6,CL1
12,"We offer a variety if Massage options, whether you need a relaxing Swedish Massage or need a deep tissue Massage for those sore aching muscles. We also offer Foot Reflexology for tired aching feet. If you are in a hurry, we have Chair Massage. We also have hired a new Massage Therapist. Services offered: Acupressure Chair Massage Foot Reflexology Hot Stone's Swedish Massage Deep Tissue Massage Couple's Massage offered. (By appointment only) Business Hours: 10 AM till 8 PM, 7 days a week Call for appointment, or walk in's accepted. Phone:  show contact info 2518 Hwy. 77, Suite B Lynn Haven Florida, 32444 We are located 2 miles north of Panama City Mall on Hwy. 77, Between the BP station and the Waffle House.","Lan's Massage Therapy, Lynn Haven,Panama City,Panama City Beach.",https://panamacity.craigslist.org/thp/d/lans-massage-therapy-lynn/6415817528.html,"Hwy,B,Lynn,Haven,Fl",12/7/2017 4:19,30.219374,-85.649639,hwy 77,52:18.2,CL1
13,Hello Everyone!! I am Alexis and I have been doing Massage services for over 11 years. I am only doing outcalls at the moment. I will travel up to 50 miles. (Panama City and Panama City Beach area). I provide full body Swedish massage and I do deep tissue massage for those of you who work hard and have no time to really loosen those muscles up. I am in and out of town so I can and will travel to certain places for a small fee. 80hr 130hr half plus gas    ,Moment in Time Theraputic Massage,https://panamacity.craigslist.org/thp/d/moment-in-time-theraputic/6414702551.html,"Panama,City,Florida",12/6/2017 9:36,30.0583,-85.5762,,52:18.9,CL1
14,"Great massage experience catered to the male client. Male body grooming is also done, ask for pricing, and schedule now. A hot shower offered at the end. Mon, Wed, Thur, Fri, Sat6 pm - 12 amSun, Tues 6 am - 12 am    ","I've Got Your Back, The Ultimate Male Experience",https://panamacity.craigslist.org/thp/d/ive-got-your-back-the/6413176523.html,"West,End,Panama,City,Beach",12/5/2017 7:30,30.249818,-85.929877,600 Barefoot Lane,52:19.6,CL1
15,"JOUN SPA.................We do Shiatsu, Swedish & Deep-tissue Combination massageYou'll receive best quality massage in town.Half Hr: $60.00One Hr: $80.00 Include Table Showeropen 9am to 10pm We have additional parkings are back of the building and use the back entrance, pleaseOur location is between 23rd st and airport rd, behind the ""Dunkin Donuts""'Call:  show contact infoMM 37226credit card OK    ","""GRAND OPENING"" ASIAN MASAGE",https://panamacity.craigslist.org/thp/d/grand-opening-asian-masage/6412856704.html,"panama,city",12/4/2017 20:27,30.190207,-85.680699,2302 winona dr,52:20.3,CL1
16," Would you like to experience the best pure therapeutic Asian Massage? We welcome all clients. Let us take away your pains & stress and rejuvenate your body with our professional massage. Our oil massage can ease your stress and deep massage can relax your tight and pain muscles from work.  Our place is clean. Private and comfortable. Parking is easy. Tel:  show contact info Services offered: Pain Treatment & Trigger point . Deep Tissue Massage .  Swedish Massage .  Foot Reflexology.  Couple Massage .  Acupressure. Accept major credit card  Tel:  show contact info Open: 7 Days 10:00 am ---9:00 pm  Call for appointment, or walk ins accepted. Location: 7950 Front Beach Rd , Panama City Beach , FL32407    ",---Asian Massage At PC Beach---,https://panamacity.craigslist.org/thp/d/asian-massage-at-pc-beach/6412779517.html,"Panama,City,Beach",12/4/2017 19:11,30.185853,-85.772769,7950 Front Beach Rd,52:21.1,CL1
17,"Hi Gentlemen. Stressed? Sore? Just Need to Relax??? Come see why I have such a large clientele base. I work out of a clean, safe and private environment, with a shower in the same room & am an experienced female. I'll be available Mon-Fr Morning until 7:00/7:30pm & Sat Morning til biz slows (unless arrangements made otherwise). Let me help you Relax ALL those Stresses Completely Away. Reply to this Ad for more information. Military & Seniors Discount 60+!    ",**Holiday Special thru Dec: $10 Goes to Children's Holiday Gifts**,https://panamacity.craigslist.org/thp/d/holiday-special-thru-dec-10/6412086417.html,"East,Panama,City,Beach,Off,Thomas,Dr",12/4/2017 11:21,,,,52:21.8,CL1
18,"Best professonal massage in PCB! Feeling headache that you can not find a good massage? If you choose us, we will not make you feel disappointed.We provide you a quiet & clean environment with modern interior design & relaxing soft music. Our professional massage therapists are licensed & highly trained. They are skilled in deep tissue, Swedish, relaxation, walk on the back reflexology, shiatsu, and sport massage.We welcome all clients. Let us take away your pains & stress and rejuvenate your body with our professional massage.READ OUR REVIEWS ON YELP!BRING YOUR LOVE ONES AND FAMILY HERE & GIVE THEM THE BEST GIFT!!Individual             Couple's massage$62   -  30mins      $155 - 60 mins$77   -  60mins      $225 - 90 mins$113 -  90mins$145 -  2hrsFirst time customer $5-10 OFF ""check in with YELP"". Business hours:M-Sun: 10am-10pm    ",High recommend on Yelp-Pure massage-couples massage or group massage,https://panamacity.craigslist.org/thp/d/high-recommend-on-yelp-pure/6411868184.html,"Panama,City,beach,pkwy",12/4/2017 9:06,30.232838,-85.894074,17320 Panama City beach pkwy,52:22.7,CL1
19,"331 SPAWelcome to best asian massage, Shiatsu and Swedish, Walk on your back, firm or relaxing massage.Great table showerOur place is very clea and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New Person.Half Hr : $60.00One  Hr:   $80.00Open 9 am to 10 pm, 7days a weekCall:  show contact info*from the Panama city,  beach :   one mile before the I-10 on highway 331 to your left*from the Tallahassee & Mariana :           I-10 Exit 85,   left turn to 331 one mile on your right*from the  Mobil ,Crestview, Pensacola : I-10 Exit 85, right turn to 331 one mile on your right    ","ASIAN PROFESSIONAL MASSAGE ""right off, I-10 on 331 S""",https://panamacity.craigslist.org/thp/d/asian-professional-massage/6410926679.html,"defuniak,springs",12/3/2017 12:49,30.674719,-86.123371,3590 us hwy 331 S,52:23.4,CL1
20,"We offer a variety if Massage options, whether you need a relaxing Swedish Massage or need a deep tissue Massage for those sore aching muscles. We also offer Foot Reflexology for tired aching feet. If you are in a hurry, we have Chair Massage. We also have hired a new Massage Therapist. Services offered: Acupressure Chair Massage Foot Reflexology Hot Stone's Swedish Massage Deep Tissue Massage Couple's Massage offered. (By appointment only) Business Hours: 10 AM till 8 PM, 7 days a week Call for appointment, or walk in's accepted. Phone:  show contact info 2518 Hwy. 77, Suite B Lynn Haven Florida, 32444 We are located 2 miles north of Panama City Mall on Hwy. 77, Between the BP station and the Waffle House.","Lan's Massage Therapy, Lynn Haven,Panama City,Panama City Beach.",https://panamacity.craigslist.org/thp/d/lans-massage-therapy-lynn/6410499544.html,"Hwy,B,Lynn,Haven,Fl",12/3/2017 4:31,30.219374,-85.649639,hwy 77,52:24.0,CL1
21, ,,https://albanyga.craigslist.org/thp/d/asias-massage-2700-dawson-rd/6415469969.html,, ,,,,52:24.9,CL1
22,"come visit are store we location is 3 mins from Pensacola Beach we have good clean first class room and skillful massage therapistyou will feel rejuvenate,happy and energized after a good massagewe have gift card now for during Christmas  or new year call  show contact info for more information we open every day MM 35195913 gulf breeze pkwy Harbourtown unit 11 gulf breeze fl32561    ",new opening oriental healthy massage,https://okaloosa.craigslist.org/thp/d/new-opening-oriental-healthy/6419934455.html,"Gulf,Breeze,PKWY",12/10/2017 10:34,30.357389,-87.162609,913 Gulf Breeze Pkwy unit 11,52:25.6,CL1
23,"call  show contact infoMerry Christmas and happy new year 2018 too all my customers !good year get start right at gulf breeze massage come to get good health massage we have gift card available buy now gift card is good way show you family how much you cares about them  we opening everyday  MM 319483057 gulf breeze pkwy gulf breeze ,fl32563    ",Asian Massage,https://okaloosa.craigslist.org/thp/d/asian-massage/6419930037.html,"gulf,breeze,pkwy",12/10/2017 10:30,30.384241,-87.096262,3057 Gulf Breeze Parkway,52:26.3,CL1
24,"Joy Spa MassageTake Your Mind Away From All the Stress!Very Nice & Professional Massage therapists!Open 7days from 10am to 10pmAddress: 50 S Holiday Road Suite 400, Miramar Beach, FL32550Tel: show contact info",Grand opening---Chinese Massage--850-586-3593,https://okaloosa.craigslist.org/thp/d/grand-opening-chinese-massage/6419463312.html,"s,holiday,road,suite",12/9/2017 19:54,30.384369,-86.380442,50 s holiday rd,52:27.0,CL1
25, ,,https://okaloosa.craigslist.org/thp/d/deja-vu-amazing-chinese/6419147475.html,, ,,,,52:27.9,CL1
26,"   show contact info . //.  show contact info  151Mary Esther Blvd 104 . Mary Esther .FL.32569Welcome to amazing Mojo Chinese massage.Great News: Our new sweet and cute therapists here. We offer shiatsu, Swedish massage also we can walk on back if needed. Our place is really quiet, clean and cozy. Our therapists are all licensed and professional. Come check us out, I promise you will have a great experience here. Plus we have tableshower too. If you off work late and tired. you don't want to go back house to take shower. You are so welcome to get a free shower here. It's our pleasure to bring you convenOPEN 7DAYS/WEEKOPEN 10am TO 10:30pmAddress: 151-104 Mary Esther Blvd, Mary Esther, FL 32569 Fort Walton Beach    ",?¯è?É??É?õ?¯è?É??É?õ?¯è?É??É?õ NEW Tableshower Mojo Chinese Massage ?¯è?É??É?õ,https://okaloosa.craigslist.org/thp/d/new-tableshower-mojo-chinese/6419146277.html,"Mary,Esther,Blvd,Mary,Esther",12/9/2017 14:52,30.410856,-86.654749,151 mary esther bvld,52:28.6,CL1
27,"331 SPAWelcome to best asian massage. shiatsu and swedish, walk on your back , firm or relaxing massage.Great table shower.Our place is very clean and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New person,In callHalf Hr: $60.00One Hr: $80.00we do accept credit cardsopen 9 am to 10 pm , 7days a weekCall:  show contact info* 1 mile from I-10 on highway 331 to your right*from the beach - one mile before to I-10 on highway 331 to your left*I-10 from alabama - right turn to 331, from tallahassee- left turn to 331    ","ASIAN MASSAGE ""GRAND OPENING"" right off I-10 on highway 331",https://okaloosa.craigslist.org/thp/d/asian-massage-grand-opening/6418998885.html,"Defuniak,Springs",12/9/2017 13:09,30.671729,-86.123886,3590 us highway 331 S. unit 103,52:29.3,CL1
28, ,,https://okaloosa.craigslist.org/thp/d/miss-massage-body-foot/6418913593.html,, ,,,,52:30.0,CL1
29, ,,https://okaloosa.craigslist.org/thp/d/brand-new-body-soul-massag/6418911613.html,, ,,,,52:30.8,CL1
30, ,,https://okaloosa.craigslist.org/thp/d/new-ripple-massage-couple/6418909532.html,, ,,,,52:31.5,CL1
31,"[[ __ China Wellness Center  __ ]]Congratulations! You Have Already Found The Best Masseusein Navarre !: show contact info:Open 7 Days a Week 9:00am-9:30pm(Mon--Sat)  Sunday:12:00pm--8:00pmLocated at : 1815 Alpine Ave Navarre FL 32566,(Cross From Exxon) [[ Excellent Relaxing Massage The Best in Town !]]UPSCALE FACILITYDeep Tissue / Swedish /Hot Stone/Acupressure MassageIf You Would Like a Relaxing Massage by ProfessionalAsian Masseuses Come And Experience a Perfect Body Massage.Very Professional Body Massage:New Open SpecialFull Body Massage:Half Hour/$40One Hour/$60Walk in Welcome  ",É??É?®É??Grand Opening China Wellness MassageÉ??É?®É??,https://okaloosa.craigslist.org/thp/d/grand-opening-china-wellness/6418749919.html,"Alpine,Ave,Navarre,FL",12/9/2017 10:28,30.4277,-86.9271,1815 Alpine Ave,52:32.3,CL1
32, ,,https://okaloosa.craigslist.org/thp/d/enjoy-bestmassage-in-new/6418747128.html,, ,,,,52:33.1,CL1
33,"call  show contact infoMerry Christmas and happy new year 2018 too all my customers !good year get start right at gulf breeze massage come to get good health massage we have gift card available buy now gift card is good way show you family how much you cares about them  we opening everyday  MM 319483057 gulf breeze pkwy gulf breeze ,fl32563    ",Asian Massage,https://okaloosa.craigslist.org/thp/d/asian-massage/6418658141.html,"gulf,breeze,pkwy",12/9/2017 9:22,30.384241,-87.096262,3057 Gulf Breeze Parkway,52:33.9,CL1
34,"come visit are store we location is 3 mins from Pensacola Beach we have good clean first class room and skillful massage therapistyou will feel rejuvenate,happy and energized after a good massagewe have gift card now for during Christmas  or new year call  show contact info for more information we open every day MM 35195913 gulf breeze pkwy Harbourtown unit 11 gulf breeze fl32561    ",new opening oriental healthy massage,https://okaloosa.craigslist.org/thp/d/new-opening-oriental-healthy/6418657536.html,"Gulf,Breeze,PKWY",12/9/2017 9:21,30.357389,-87.162609,913 Gulf Breeze Pkwy unit 11,52:34.6,CL1
35,"331 SPAWelcome to best asian massage. shiatsu and swedish, walk on your back , firm or relaxing massage.Great table shower.Our place is very clean and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New person,In callHalf Hr: $60.00One Hr: $80.00we do accept credit cardsopen 9 am to 10 pm , 7days a weekCall:  show contact info* 1 mile from I-10 on highway 331 to your right*from the beach - one mile before to I-10 on highway 331 to your left*I-10 from alabama - right turn to 331, from tallahassee- left turn to 331    ","ASIAN MASSAGE ""GRAND OPENING"" right off I-10 on highway 331",https://okaloosa.craigslist.org/thp/d/asian-massage-grand-opening/6418118350.html,"Defuniak,Springs",12/8/2017 18:09,30.671729,-86.123886,3590 us highway 331 S. unit 103,52:35.3,CL1
36,"331 SPAWelcome to best asian massage. shiatsu and swedish, walk on your back , firm or relaxing massage.Great table shower.Our place is very clean and very comfortable.Every therapists are licensed and very professional and friendly.You'll be a New person,In callHalf Hr: $60.00One Hr: $80.00we do accept credit cardsopen 9 am to 10 pm , 7days a weekCall:  show contact info* 1 mile from I-10 on highway 331 to your right*from the beach - one mile before to I-10 on highway 331 to your left*I-10 from alabama - right turn to 331, from tallahassee- left turn to 331    ","ASIAN MASSAGE ""GRAND OPENING"" right off I-10 on highway 331",https://okaloosa.craigslist.org/thp/d/asian-massage-grand-opening/6418117497.html,"Defuniak,Springs",12/8/2017 18:08,30.671729,-86.123886,3590 us highway 331 S. unit 103,52:36.0,CL1
37,"Let Me Spoil You Ladies at your location or mine!  show contact infoWhether your a Wife, Mom, Out of Town Business Lady or an Active Lady who is constantly on the go with life you all deserve to spoil yourselves for an hour or two to get your sanity back. Husbands and Boyfriends treat your lady to the Massage she deserves!I Am An Attractive, Attentive, Professional Gentleman who aspires to make this the BEST massage experience you have Ever had.Let Me Rejuvenate Your Mind and Body with a Full Body Massage from Your Head to Your Toes, Front and Back and Your Mind and Body Will Melt On My Table!I Combine A Swedish, Deep Tissue and Light/ Feather Touch into one unique massage that Caters To Your Mind and Body's Needs.Call or text Mike   show contact infoI travel to your location, home or hotel with my Heated Massage Table, Sheets, Coconut Massage Oil, Relaxing Soothing Music, Oil Diffuser that Stimulates Your Senses and My Amazing Hands, Charming and Relaxing Personality to your doorstep.I look forward to meeting you. Call or text me now for rates & times.show contact infoIncalls & Outcalls    ",Ladies An Amazing Massage Experience Awaits Your Mind & Body's Needs!,https://okaloosa.craigslist.org/thp/d/ladies-an-amazing-massage/6417698819.html,"Destin,FWB,Sur,Areas",12/8/2017 13:02,,,,52:36.7,CL1
38,"come visit are store we location is 3 mins from Pensacola Beach we have good clean first class room and skillful massage therapistyou will feel rejuvenate,happy and energized after a good massagewe have gift card now for during Christmas  or new year call  show contact info for more information we open every day MM 35195913 gulf breeze pkwy Harbourtown unit 11 gulf breeze fl32561    ",new opening oriental healthy massage,https://okaloosa.craigslist.org/thp/d/new-opening-oriental-healthy/6417687296.html,"Gulf,Breeze,PKWY",12/8/2017 12:55,30.357389,-87.162609,913 Gulf Breeze Pkwy unit 11,52:37.3,CL1
39, ,,https://okaloosa.craigslist.org/thp/d/deja-vu-amazing-chinese/6417610423.html,, ,,,,52:38.1,CL1
40,"---------Navarre Oriental massage--------- 8239 Navarre Pkwy,Navarre,FL 32566 Open 7 Days a Week 10amTO 10pm(M-Sa)  11am-8pm(Sundays) Otherwise make Appointments License:MM 33281  Tel:  show contact info Private massage rooms, clean, quite and comfortable",É??BEST CHOICEÉ??Professional Asian Masseuses & Fascinating Service,https://okaloosa.craigslist.org/thp/d/best-choiceprofessional-asian/6417475350.html,"google,map",12/8/2017 10:44,30.401407,-86.916275,8239 Navarre Pkwy,52:38.9,CL1
41,"call  show contact infoMerry Christmas and happy new year 2018 too all my customers !good year get start right at gulf breeze massage come to get good health massage we have gift card available buy now gift card is good way show you family how much you cares about them  we opening everyday  MM 319483057 gulf breeze pkwy gulf breeze ,fl32563    ",Asian Massage,https://okaloosa.craigslist.org/thp/d/asian-massage/6417231249.html,"gulf,breeze,pkwy",12/8/2017 7:36,30.384241,-87.096262,3057 Gulf Breeze Parkway,52:39.6,CL1
42,"call  show contact infoMerry Christmas and happy new year 2018 too all my customers !good year get start right at gulf breeze massage come to get good health massage we have gift card available buy now gift card is good way show you family how much you cares about them  we opening everyday  MM 319483057 gulf breeze pkwy gulf breeze ,fl32563    ",Asian Massage,https://okaloosa.craigslist.org/thp/d/asian-massage/6416477648.html,"gulf,breeze,pkwy",12/7/2017 14:08,30.384241,-87.096262,3057 Gulf Breeze Parkway,52:40.2,CL1
43,"114 Palmetto Street Unit 3, Destin .fl. 32541 Call:  show contact info or  show contact infoOffering Fullbody and Foot massagefferent location, brand new environment, professional masseuse, same great service.* Swedish Massage*- Deep Tissue Massage*- Hot Stone Massage (Free)*- Reflexology *- Therapeutic massage*- Pain Relief Massage*- Sports Massage*-Feather Touch MassageWalk-in's are welcome but Appointments much appreciated.Call:  show contact info or  show contact infoOpens Monday through Sunday from 10:00AM to 10:30PM    ",?¯è?É??É?õ?¯è?É??É?õTang DejaVu chinese massage Free hot stone ?¯è?É??É?õ?¯è?É??É?õ,https://okaloosa.craigslist.org/thp/d/tang-dejavu-chinese-massage/6416402838.html,"Palmetto,St,Destin",12/7/2017 13:19,30.395736,-86.507485,114 palmetto  st,52:41.0,CL1
44,"   show contact info . //.  show contact info  151Mary Esther Blvd 104 . Mary Esther .FL.32569Welcome to amazing Mojo Chinese massage.Great News: Our new sweet and cute therapists here. We offer shiatsu, Swedish massage also we can walk on back if needed. Our place is really quiet, clean and cozy. Our therapists are all licensed and professional. Come check us out, I promise you will have a great experience here. Plus we have tableshower too. If you off work late and tired. you don't want to go back house to take shower. You are so welcome to get a free shower here. It's our pleasure to bring you convenOPEN 7DAYS/WEEKOPEN 10am TO 10:30pmAddress: 151-104 Mary Esther Blvd, Mary Esther, FL 32569 Fort Walton Beach    ",?¯è?É??É?õ?¯è?É??É?õ?¯è?É??É?õ NEW Tableshower Mojo Chinese Massage ?¯è?É??É?õ,https://okaloosa.craigslist.org/thp/d/new-tableshower-mojo-chinese/6416400589.html,"Mary,Esther,Blvd,Mary,Esther",12/7/2017 13:18,30.410856,-86.654749,151 mary esther bvld,52:41.9,CL1
