ad,title,url,loc,scrape stamp,lat,long,addr,scrape date,source
Best Asian Masseuse!!Professional Sweet Asian StaffSuper Clean and Cozy Private RoomsAmazing Price!! Come and Try!!Real Experienced Asian Magic Hands!!!!!Deep TissueSwedish MassageOpen 7 days a week 9:30am-9:30pm715 East Glenn Ave Suite 101 Auburn AL 36830Call  show contact info,❤❤Grand Opening Oasis Massage ❤❤ 3345215388,https://auburn.craigslist.org/thp/d/grand-opening-oasis-massage/6417553605.html,Auburn,12/8/2017 11:32,32.609014,-85.467371,715 east glenn Ave suite 101,20:10.8,CL1
"Mon-Sat 9am-7:30pmSun-11am-5pmDeep tissue,Swedish,Relaxation mMili-Mon and Sat -$FireFight-Fri-$Call 4aptText 4infoLic Info only in person",Sun mas,https://montgomery.craigslist.org/thp/d/sun-mas/6420838785.html,montgomery,12/11/2017 5:08,32.3129,-86.2421,east blvd at vaughn,20:11.5,CL1
 ,,https://montgomery.craigslist.org/thp/d/wbest-asian-massagecall/6420405684.html,, ,,,,20:12.4,CL1
"Tai Ji Acupressure specializes in acupressure and massage therapy that naturally heals and relieves pain and stimulates relaxation. We have well-trained, licensed massage therapists and provides the best professional massage therapy. We provide nice, private rooms with relaxation music.Our services include:Chinese Acupressure MassageHot Stone MassageDeep Tissue Massage",Tai Ji Acupressure and Massage Therapy (334-819-4189),https://montgomery.craigslist.org/thp/d/tai-ji-acupressure-and/6419141531.html,Montgomery,12/9/2017 14:48,32.359066,-86.145289,8876 Minnie Brown Road,20:13.1,CL1
"Tranquil Spa offers: Acupressure, Deep Tissue, Swedish, Shiatsu, Reflexology and Oil Massages, Hot Stones                             	Full Body Massages:  hr. $40.00 & 1 hr.  $60.00                             	Foot Massage:  hr. $30.00 & 1 hr. $50.00                             	Chair Massage: $10 for every ten minutesWhen you come to Tranquil Spa you come to beautifully decorated private rooms. Yes, we have one room for couples Massages. We have experienced Masseuses that are friendly and will make you feel welcomed and relaxed.             Come in, Relax and Let us work the kinks out              For Appointments call us at  show contact info                     Open Every Day 9am - 10pm                    Walk-ins are always Welcome                         Credit Cards Accepted               1123 1st St. N. #G Alabaster, AL 35007",Come to TRANQUIL SPA for a Great Massage,https://bham.craigslist.org/thp/d/come-to-tranquil-spa-for/6420645939.html,"st,St,N,G,Alabaster,AL",12/10/2017 21:14,33.256643,-86.813653,1123 1st.St. N.,20:14.0,CL1
 ,,https://bham.craigslist.org/thp/d/grand-opening-beautiful/6420364593.html,, ,,,,20:14.9,CL1
"GRAND NEW OPEN !!!  Sunny Massage Great Clean Massage RoomsBest Environment and Relaxing MusicComfortable Equipment Attentive ServiceWe Offer Free table shower!We Offer Swedish, Deep Tissue, Acupressure, Shiatsu, Reflexology, Hot Stone!We Will Complete Relax Both Your Body And Mind!Business Hour: 10:00 AM to 10:00 PMOpen 7 Days A Week CALL:  show contact infoLocation: 3726 Lorna RD, Hoover, AL 35216(BESTBUY Cross Street)    ",GRAND NEW OPEN !!! ••• Sunny Massage ••• Free Table Shower!!!,https://bham.craigslist.org/thp/d/grand-new-open-sunny-massage/6420315317.html,Hoover,12/10/2017 15:36,33.379011,-86.80109,3726 Lorna Rd,20:15.7,CL1
"*GRAND NEW OPEN** I Knead Massage* Looking for a RIGHT place?U need I Knead Elegant conditions ,soothing musicBig clean private massage rooms ,comfortable equipmentAttentive serviceSwedish, Deep tissue, Shiatsu, Acupressure, Reflexology. Hot stoneA variety of skill offered by Friendly trained certified Asian masseuseIncrease blood circulation,relieve pain of your muscle and joint Take away the stress of your body and soul Call :  show contact infoHour: Mon---Sun. 9:30am-9:00pm. Location: 2015 valleydale road birmingham 35244(the Intersection of Hwy31 and Valleydale road )",●●●I Knead Massage●●●New Open●●&,https://bham.craigslist.org/thp/d/knead-massagenew-open/6420256742.html,BIRMINGHAM,12/10/2017 14:46,33.34616,-86.795565,2015 valleydale road,20:16.5,CL1
"Asian Massage on 280 (across street from Logan and chick A filet)Please call: show contact info...Professional, skilled, experienced Asian massage therapists.Providing relaxing, comfortable, Asian and western massage.work with your time. ",The Best Massage ★ Asian...H Massage...★,https://bham.craigslist.org/thp/d/the-best-massage-asianh/6420082797.html,"Birmingham,AL",12/10/2017 12:31,33.428938,-86.706652,476 Cahaba Park Circle,20:17.3,CL1
"*NEW LOCATION* NEW OPEN *Best Environment For Relaxing !We Are Professional Licensed Massage Therapists.We Offer Swedish, Deep Tissue, Acupuncture, Ralaxing Soothing Traditional Massage And Offer Special Hot Towel, Will Completely Relax Both Your Body And MindAnd Take Away Your Pain Stress And Anxiety In Your Body !We Have Gift Certificate Offer For Your Loved One !Business Hour : 9:30 am --10:00 pmOpen 7 Days A Week Please Call :  show contact infoNEW Location: 4851 Cahaba River Rd suite 129    ",★ NEW OPEN !!! LOTUS MASSAGE !!! ★ (4851 Cahaba Rive Rd 205-991-2841,https://bham.craigslist.org/thp/d/new-open-lotus-massage-4851/6420012548.html,"Cahaba,River,Rd",12/10/2017 11:37,33.429113,-86.730688,4851 Cahaba River Rd,20:18.1,CL1
"227 1st street at 227 1st street  IG Steam Bath Best Atmosphere For RelaxationRelaxing Soothing Professional BodyWorkOriental Massage & AcupressureShiatsu, Deep Tissue, Swedish & Table ShowerSteam, Jacuzzi$60 With One Hour Massage227 1st street north Alabaster suite B AL 35007 show contact info",Chinese Acupressure Massage $60(((north Alabaster)))227 1st North,https://bham.craigslist.org/thp/d/chinese-acupressure-massage/6418722589.html,"google,map",12/9/2017 10:09,33.24597,-86.816003,1 St street,20:18.8,CL1
"PANDA Acupressure Massage $60/hr $80/90min(((Homewood AL) ) )))490 N wildwood circle ste 120 *Deep Tissue / Shiatsu / Swedish Massage *Therapeutic massage to reduce stress, increase blood circulation, *and heal muscle and joint pain. * Deep tissue ** Swedish & shiatsu massage ** Hot oil & hot towel treatment *   show contact info * open 7 days per week * 10:00 am / 10:00pm490 N wildwood circle ste 120 homewood AL 35209 do NOT contact me with unsolicited services or offersit's ok to contact this poster with services or other commercial interests    ",Panda Acupressure $60 Homewood(490 N Wildwood Circle Homewood),https://bham.craigslist.org/thp/d/panda-acupressure-60/6419834176.html,"google,map",12/10/2017 9:02,33.446568,-86.831217,Wildwood Circle,20:19.6,CL1
"Hello GUYSMy name is MAV , Latin massage therapist , I am certified My massage include a mix of techniques (ask) , I have my own private studio , shower available Private parking Reasonable RatesFeel free to text me  show contact info",MALE  MASSAGE M4M  BY MAV,https://atlanta.craigslist.org/atl/thp/d/male-massage-m4m-by-mav/6420927391.html,Decatur,12/11/2017 8:49,33.810318,-84.290884,"3431 North Druid Hills rd, Apt Q",20:20.4,CL1
"Hello Guys My name is MAC , I am a Certified Massage Therapist with 25 years of experience and now it's time to Put yourself in the firm, nurturing hands of a mature, masculine man. Let me melt away the tensions of every day existence through masculine touch. My innovative bodywork leaves you fulfilled, relaxed and ready to return to your world. I'm a mature and friendly professional masseur who proudly serves straight, bi and gay men of all ages, shapes and experienceI will take my time to find all your spots and custom tailor the session to your liking. I am very intuitive, and you will be very happy with your experience. ALLOW ME TO SPOIL YOU !!CALL, TEXT OR EMAIL ME TO BOOK YOUR APPOINTMENTSHOWER AVAILABLE**** 60 dollars x 60 minutes **** MAC  show contact info",CERTIFIED MASSAGE THERAPIST FOR MEN,https://atlanta.craigslist.org/atl/thp/d/certified-massage-therapist/6420926495.html,"EMORY,AREA",12/11/2017 8:48,33.810318,-84.290884,"3431 North Druid Hills rd,",20:21.1,CL1
"Welcome to my loving, healing Sanctuary... Receive the attention and touch you long for. Feel enveloped by warm love and Pleasure... Magic happens when we listen to and trust our bodies' wisdom, and get out of our thinking heads. Are you ready for a Beautiful, Restorative, Healing journey? Are you ready to feel your body in ways you have not felt it before? I will take you where you need to go... away from the draining stresses of life and work and into a timeless, heart-filled bliss! This work goes deep... I am a Seductive Reiki Master who has mastered the art of intuitive tantric healing. *Respect and integrity are crucial values in my work. Thank you for your respect and Intentionality when you come in for sessions!* * show contact info*. $120/hour.For Women and men. Blessings! I AM NOT AN ESCORT. Zenful Tantric Reiki    ",ðŸ¦‹ðŸŒˆðŸ•ŠðŸŒ¿SOOTHING RELAXING BODYWORK ðŸ•Š custom,https://atlanta.craigslist.org/sat/thp/d/soothing-relaxing-bodywork/6420925720.html,Riverdale,12/11/2017 8:47,33.5531,-84.4003,,20:21.9,CL1
"Hi, I'm Adara Moselle. I am a professional masseuse & energy worker conveniently located in Decatur. Come enjoy a cozy private space, a sincere and thoughtful masseuse, skilled hands and great personality. Awesome service is always guaranteed.Services offered include:Massage - Sweddish, Thai, Lomi Lomi, Deep Tissue, Tantra, Couples & PartiesEnergetics - Pranic Healing, Reiki, Tantric Bodywork, Chakra & Aura CleaningFor more info visit us at www.electrictouch.xyz    ","Relax, Unwind & Lose Track of Time",https://atlanta.craigslist.org/atl/thp/d/relax-unwind-lose-track-of/6420915831.html,Decatur,12/11/2017 8:36,,,,20:22.5,CL1
"Welcome to MAY Massage3255 lawrenceville suwanee rd suwanee ga 30024  show contact info  Try our professional and friendly new staff!!!~We pride ourselves in offering a quiet, soothing atmosphere. Located in an excellent area we offer several different massages, including:SwedishDeep Tissue Body massage Couple massage Beautiful & Sweet Asian Staff Are Ready To Give You BEST ServiceWALK-INS WELCOME! ",❤GRAND OPENING❤amazing massage$10 off 10AM-1PM,https://atlanta.craigslist.org/atl/thp/d/grand-openingamazing/6420904821.html,"Lawrenceville,Suwanee,lilburn,Buford",12/11/2017 8:22,34.036279,-84.052431,3255 lawrenceville suwanee rd ste k,20:23.3,CL1
 ,,https://atlanta.craigslist.org/sat/thp/d/leslie-professional/6420888789.html,, ,,,,20:24.1,CL1
"Come & Enjoy a Relaxing Session with yours Truly.1hr $80If you are looking for a Professional place & relaxing time this is the right place! I offer many customized sessions for your individual needs that will relieve your pains and relax your body and mind. Warm TowelsClean LinensUncented OilShower Available Open 5 days a week Mon-Friday 9:30am --5:00pm Please Text  show contact info To get a Faster reply. Located in Norcross, off Holcomb bridge and peachtree corners .",Professional office. Come Relax,https://atlanta.craigslist.org/atl/thp/d/professional-office-come-relax/6420885592.html,Norcross,12/11/2017 7:55,33.9381,-84.1972,Holcomb bridge at Atlantic blvd,20:24.7,CL1
"clean roomspretty friendly asian and latin staffopen 7 days a week 10:00 am to 8:30 pmLocated 2131 Pleasant Hill Road Suite 145 Duluth, Ga 30096 (behind apple bees and burger king)Exit 104Phone:  show contact info    do NOT contact me with unsolicited services or offers",Massage,https://atlanta.craigslist.org/nat/thp/d/massage/6420883587.html,"google,map",12/11/2017 7:52,33.9845,-84.1529,,20:25.4,CL1
"Catering to the elite clientele that likes to indulge the mind, body and soul with a one of a kind, customized, made just for you body work.  show contact info to schedule with Kissy Treat Yourself The perfect ambiance for the perfect body work.Cozy, clean, and comfortable Fayetteville/Riverdale location. ",ðŸ’– Amazing Hands Massage Studio ðŸ’–,https://atlanta.craigslist.org/sat/thp/d/amazing-hands-massage-studio/6420861677.html,Fayetteville,12/11/2017 7:11,33.463757,-84.452033,,20:26.2,CL1
" Beautiful & Friendly Asian Staff VISIT TODAY Or CALL FOR APPOINTMENT Absolutely Best Deal In Town & Staff !!!  Asian Oriental Deep Tissue Swedish Shiatsu Relaxation  Table Shower & Sauna Also Available  GIVE US A CALL  Open = 7 days $60 for an hourDeep Tissue MassageSwedish Massage4 Hands Massage (by appointment)Foot massage~Special: ^^Free table shower ^^Free hotstone ^^Free Sauna ~Come and Enjoy a therapeutic Chinese Massage~ Zen Massage~ 10450 Medlock Bridge Rd Suite 107 Johns Creek, GA 30097~ Please Call for appointments at  show contact info or Text to schedule your appointment at  show contact info.~Business hours: 10.00AM- 9PM. Last appointment at 8:30pm.10450 Medlock Bridge Rd, 30097    ",ZenSational (Duluth\Johns Creek),https://atlanta.craigslist.org/nat/thp/d/zensational-duluthjohns-creek/6420860247.html,"Medlock,Bridge,Rd",12/11/2017 7:07,34.026,-84.147,10450 Medlock Bridge Rd,20:27.1,CL1
"MASSAGE WITH A GREAT TOUCH! INCALLS (gainesville)SE HABLA ESPANOL  show contact infoSEVEN 7 CERO. SEVEN 4 FOUR. 1 ONE 6 NINEGreat with hands! Private location includes table, sheets, lotions/oils and shower for your comfort.I have a location in OAKWOOD,( shower available if you need it)SHOWERS & BEVERAGES AVAILABLE IN A CLEAN AND SAFE ENVIRONMENT.*8AM-10PM 7 DAYS A WEEKCALL OR TEXT TO BOOK YOUR APPOINTMENT.Most of the time when I'm not answering my phone calls is because I'm busy massaging.* I do prefer texts, but you can call either! if i don't answer , leave a textmessage please :)Rates for INCALLS:30min. $4060min. $6090min. $100TIP is NOT INCLUDED***CASH ONLY***    ",ARE YOU LOOKING FOR A VERY NICE AND SPECIAL MASSAGE,https://atlanta.craigslist.org/atl/thp/d/are-you-looking-for-very-nice/6420853880.html,,12/11/2017 6:53,,,,20:27.8,CL1
"I am a world-class male massage therapist born in Japan and living in the United States for the past 25 years. I am skilled in numerous techniques and therapies, including Shiatsu, Swedish, Neuromuscular, Myoskeletal Alignment, Trigger Point, Thai Stretching and Sports Massage, as well as spa body-scrub treatments (shower available). I am located just inside the perimeter less than a mile from I-285 and Chamblee-Dunwoody.PRICESMassage (Swedish, Relaxation, Light Massage)* 1-hour massage: $70* 90-minute massage: $100Massage + Spa Treatment (Body Scrub, Seaweed Wrap, Mud Wrap, Aroma Therapy Wrap)* 1-hour massage + 30-minute spa treatment: $110* 90-minute massage + 20-minute spa treatment: $140Specialty Massages (Shiatsu, Deep Tissue, Neuromuscular, Sports, Thai Stretching, Maternity/Pregnancy Massage)* 1-hour specialty massage: $75* 90-minute sports massage: $110Foot Massage (Reflexology)* 30-minute foot massage: $40* 1-hour foot massage: $70Quick Service* 40-minute massage + 20-minute spa treatment: $100All massage/treatment appointments include hot-towel service and small bottle of water. Shower available.Hours:Monday - Friday 10 am - 6 pm (last appointment starts at 5)Saturday 10 am - 7 pm (last appointment starts at 6)Sunday closed (special appointments can be made with advance notice)Weekday and Saturday appointments fill early, so whenever possible, please book 24 hours in advance or at least by early morning for a same-day session.Get relaxed and rejuvenate yourself! Call or text:  show contact info",World-Class Male Licensed Massage Therapist (North Atlanta (itp),https://atlanta.craigslist.org/atl/thp/d/world-class-male-licensed/6420849364.html,Chamblee,12/11/2017 6:40,,,,20:28.5,CL1
"CONNECT, HEAL, GROW, and BALANCE USING ENERGYDo you need to reconnect in your relationships?Are you experiencing physical, emotional or mental intimacy issues?Are you disabled or experiencing obstacles and want MORE options?If you answered yes to these questions TW!E - Totally Intimate may have your solution.What is Sacred Intimacy?Sacred intimacy is a joint exploration of healing, celebration and intimacy whose goal is to create a greater wholeness. Sessions are typically uniquely crafted by the Coach/Facilitator and client according to the client's own goals, desires and need. Sacred Intimacy Coaching Sessions - 60| 60 minute individual100 | 90 minute couples session --Hindu and Taoist philosophies and breathwork--What is Energy Regulation?Energy regulation is a treatment that is done to promote healing of the energetic body that exists in all of us. This energetic body exists simultaneously with our physical body, with each having a direct effect on the other. Therefore, energy healing sessions may help us mentally and spiritually, as well as physically. Energy Regulation* Sessions - 60 | 60 minute100 | 90 minute*Fire Cupping *Reflexology *Light Touch *Reiki Energy *Transformative Energy Totally Wow! Entertainment featuring Totally Intimate offers:Intimacy CoachingEnergy Regulation SessionsandSexual Obstacle Treatments and Exercisesincluding: Cuddling Sessions Touch Treatment   Chakra Balancing~ Jamila Aisha - AKA Coach MimiTotally Wow! Entertainmentput the WOW! into your love life    ",☯☙Sacred Intimacy Coaching and Energy Regulation☙☯,https://atlanta.craigslist.org/atl/thp/d/sacred-intimacy-coaching-and/6420846336.html,Marietta,12/11/2017 6:32,33.9382,-84.5403,Windy HIll at South Cobb,20:29.3,CL1
"Book a Mobile Massage to your location today! Female Therapist provides a relaxing therapeutic service on a massage table with clean linen,heated oil and soothing hands. This is an outcall service only.90 min Massage  $1002 hr Massage.      $1351 hr Massage and scrub $1352 hr Massage and scrub $185$25 travel fee and/ or hotel parking will be added if traveling outside of the perimeter. All services are Therapeutic.Contact no# -  show contact info",Mobile Massage by Professional Female Therapist 90 min massage $100,https://atlanta.craigslist.org/atl/thp/d/mobile-massage-by/6420839622.html,Atl,12/11/2017 6:11,,,,20:30.0,CL1
"Lorena CMT | Certified Massage Therapy | Hotel Outcall OnlyHello! I am a 29 year old masseuse with over 5 years of experience. Experience my masterful touch now! I deliver out-call massage only to Atlanta hotels. I am available to soothe your aching muscles with natural organic lotion or oil, and the exquisite touch of my hands. I'm independent and trained in light touch, medium and deep tissue. Best full body therapeutic rubdown in Atlanta! Many of my new callers become regular clients. Business travelers relax at the end of your long day! Available late night for your convenience. Flat rate: $150 for 60 minutes and 90 minute massage is also available. No hidden costs. Legitimate hotel guests only; express to you in an hour or less. See you soon!Call me @  show contact info when you're ready to schedule appointment.If I am unable to answer, just leave a VM with callback instructions and I will contact you asap. Please no texts or blocked numbers, or inappropriate questions. Thanks in advance,Lorena    ",24/7 Hotel Outcall Massage ~ Mobile Masseuse ~ Best Bodyrub in Atlanta,https://atlanta.craigslist.org/atl/thp/d/24-7-hotel-outcall-massage/6420632840.html,"Mobile,Massage,Outcall,Your,Hotel",12/10/2017 21:57,33.7525,-84.3888,,20:30.7,CL1
"Time to Start your day off right!Contact me, the only massage therapist to help break away all those tight and sore muscles with a unique deep tissue massage and Other relaxing massages.This is for those who want a cure from stressfulness and tense tendons. Available Monday through Saturday as early as 7 am to 9 pm. Find an opening most convenient for the greatest massage you'll receive. Let's restore your Strength and Stamina. This Proven Method Is To Remove Any Lactic Acid That Has Been Building Up In Your Muscles.You will not be disappointed!! Text Me Now for a massage. Appointment Only. Your muscles can't wait any longer, so book your next appointment. Couples Massage Available.Name is MinaTEXT:  show contact infoLocated in Winder, Georgia 2 blocks from the Carl House in Auburn, GeorgiaYou're body will leave very satisfied.I prefer texting, if you wish to have me call you, can you please text me to call you back. Most of the time when I'm not answering my phone calls is because I'm busy massaging. Thank you.PS.If I'm not the female from the picture then your massage is free :)    ",Needing a Nice Relaxing Massage,https://atlanta.craigslist.org/atl/thp/d/needing-nice-relaxing-massage/6420603516.html,"google,map",12/10/2017 21:21,33.9985,-83.7115,,20:31.4,CL1
 ,,https://atlanta.craigslist.org/atl/thp/d/asia-massage-sore-pain/6420598849.html,, ,,,,20:32.2,CL1
"((( GG Spa )))***BETTER RELAXATION 4 U***  3149 E Shadowlawn Ave NE, Atlanta, GA 30305 Come and enjoy a totally relaxing momentWe offer various relaxation service to suit your individual needs  show contact info Body to Soul: We heal you all over 24/7 Always be with youBeautiful  Global Staff are waiting 4 UFree Table Shower! DIRECTION: CLICK ",â–‡â–†â–…â–ƒ ðŸ”´ðŸ”´ 24/7 GG SPA: 404-907-4699,https://atlanta.craigslist.org/atl/thp/d/24-7-gg-spa/6420531641.html,"Buckhead,Midtown,Downtown",12/10/2017 20:01,33.841012,-84.374146,3149 E Shadowlawn Ave NE,20:33.0,CL1
Relax and rejuvenate! I invite you to join me for an amazing massage. Conveniently and privately located. Escape the mundane...Tara 84 three 60 eight 1 44 eight    ,~~Amazing Massage~~,https://atlanta.craigslist.org/atl/thp/d/amazing-massage/6420471015.html,,12/10/2017 18:58,,,,20:33.7,CL1
Hello Gentlemen! My name is Elizabeth. I am a licensed massage therapist. I travel to areas located in Metro Atlanta. Therapeutic Massage - $150.00 HourlyFor an appointment call  show contact infoPlease leave a messageSee you soon!!!*RELIEVE PAIN *PROMOTE RELAXATION* REDUCE STRESS & TENSION*    ,Schedule Your Appointment Today!,https://atlanta.craigslist.org/atl/thp/d/schedule-your-appointment/6420448236.html,"google,map",12/10/2017 18:35,33.8687,-84.3351,,20:34.4,CL1
"Hello I'm Nicole, 100% Real and Natural...see me at my private suite...I will rub every inch of your....with my strong gifted hands...I will customize your session... just to cater your needs I'm waiting on you...Weekend Special: 20% OFF NEW CUSTOMERS 10% OFF Returning CustomersIncall Specials:60 min... $10030 min... $50************Outcalls 60 min....$12590 min....$150 **** Credit Cards Accepted ****CALL OR TEXT ME NOWshow contact info(NO BACK & FORTH EMAILS OR TEXTS)....You won't be disappointedOpen 12 hours daily*Weekends by appt only*Need More Info??Google Me:ArtfulTouch By Nicole    ",AMAZING TOUCH,https://atlanta.craigslist.org/atl/thp/d/amazing-touch/6420319083.html,"Vinings,Mabelton,Atlanta",12/10/2017 16:39,33.8332,-84.6031,East-West Connector at Atlanta rd,20:35.0,CL1
