,"I am married masculine / atractive in nice shape with a nice cock for you, I am looking around 50's on DL too, clean and DDF, If you are married is a plus. have a pics, stat and age in your email or I will not response.. decent guys / gentleman..I am a little bored/ rarely do thisNo pics = No answer    Discreet on the DL","I am married masculine / atractive in nice shape with a nice cock for you, I am looking around 50's on DL too, clean and DDF, If you are married is a plus. have a pics, stat and age in your email or I will not response.. decent guys / gentleman..I am a little bored/ rarely do thisNo pics = No answer    ",Discreet on the DL,https://elpaso.craigslist.org/cas/d/discreet-on-the-dl-m4m/6416067510.html,el paso,west,2017-12-07 08:48:45,,,,2017-12-13 23:06:34.777000,CL1
,"You leave the front door unlocked. I come in quietly and find you in the kitchen opening a bottle of wine. You're wearing nothing but a lacy bra, panties, and a lacy robe that's open. I come up behind you and run my fingers up the small of your back and back down the your waste I wrap my arms around your stomach pull you close to me and begin gently kissing your neck. I feel the goosebumps on your stomach as you let out a soft moan. I begin nibbling on your ears as I explore your body with my hands. I gently feel your wonderful tits over your bra and run my hands down just barely brushing your pussy. You are already soaking wet. You smile because you can feel cock growing. In no time I'm rock hard and you can feel my hard throbbing dick against your back. I slide my fingers into your panties and i run my fingers up and down your slit before gently messaging your clit. You push your ass back against my cock. I turn you around and kiss you deeply. I take off you robe reach around and unclasp your bra. I let your soft tits fall into my hands and lean down to gently suck on each of your nipples as you get my pants off and begin stroking my throbbing cock. I lift you up on the counter and begin exploring your body with my tongue and lips starting with your neck. I work my way back to your tits but this time I'm turned on that I devour them making sure tease your nipples as I release I gently kiss your stomach and work my way down to just above your panties. I run my tongue over your panties tasting you before I gently kiss and lick your inner thigh. You are moaning with delight. I take your panties off and gently run my tongue your wet pussy. I find your clit and begin teasing it. You begin thrusting your hips. I press my tongue more on your pussy. I slide one finger inside you and press harder on your clit; circling it. I feel your pussy contract as you cum so hard. I lead you to the living room and sit you down on your sofa.I stand in front of you. You take my cock in your hand and begin stroking in. You bring your mouth down and run your tongue up and down the shaft taking care to tease the head and lick up the pre-cum. I run my hand through your hair and frantically look for your tits with the other. I guide your mouth on to my throbbing cock till I am all the way inside your mouth, it's too much for you to take at first so you have to take it out. You look up and me and smile still stroking my cock then you plunge the entire thing in your wet hot mouth. I am holding your head more firmly and thrusting into your mouth. It feels so fucking good. I you can feel me starting to cum but you keep sucking my cock. I push you back and tell you I want to cum on your tits. I stand in front of you stroking my cock. I tell you to play with your pussy and you spread your legs and rub your clit And start fingerings your wet pussy I lean over your tits and shoot hot cum all over them and watch you lick it off. I run back to the kitchen to get the wine.    READ MY FANTASY","You leave the front door unlocked. I come in quietly and find you in the kitchen opening a bottle of wine. You're wearing nothing but a lacy bra, panties, and a lacy robe that's open. I come up behind you and run my fingers up the small of your back and back down the your waste I wrap my arms around your stomach pull you close to me and begin gently kissing your neck. I feel the goosebumps on your stomach as you let out a soft moan. I begin nibbling on your ears as I explore your body with my hands. I gently feel your wonderful tits over your bra and run my hands down just barely brushing your pussy. You are already soaking wet. You smile because you can feel cock growing. In no time I'm rock hard and you can feel my hard throbbing dick against your back. I slide my fingers into your panties and i run my fingers up and down your slit before gently messaging your clit. You push your ass back against my cock. I turn you around and kiss you deeply. I take off you robe reach around and unclasp your bra. I let your soft tits fall into my hands and lean down to gently suck on each of your nipples as you get my pants off and begin stroking my throbbing cock. I lift you up on the counter and begin exploring your body with my tongue and lips starting with your neck. I work my way back to your tits but this time I'm turned on that I devour them making sure tease your nipples as I release I gently kiss your stomach and work my way down to just above your panties. I run my tongue over your panties tasting you before I gently kiss and lick your inner thigh. You are moaning with delight. I take your panties off and gently run my tongue your wet pussy. I find your clit and begin teasing it. You begin thrusting your hips. I press my tongue more on your pussy. I slide one finger inside you and press harder on your clit; circling it. I feel your pussy contract as you cum so hard. I lead you to the living room and sit you down on your sofa.I stand in front of you. You take my cock in your hand and begin stroking in. You bring your mouth down and run your tongue up and down the shaft taking care to tease the head and lick up the pre-cum. I run my hand through your hair and frantically look for your tits with the other. I guide your mouth on to my throbbing cock till I am all the way inside your mouth, it's too much for you to take at first so you have to take it out. You look up and me and smile still stroking my cock then you plunge the entire thing in your wet hot mouth. I am holding your head more firmly and thrusting into your mouth. It feels so fucking good. I you can feel me starting to cum but you keep sucking my cock. I push you back and tell you I want to cum on your tits. I stand in front of you stroking my cock. I tell you to play with your pussy and you spread your legs and rub your clit And start fingerings your wet pussy I lean over your tits and shoot hot cum all over them and watch you lick it off. I run back to the kitchen to get the wine.    ",READ MY FANTASY,https://elpaso.craigslist.org/cas/d/read-my-fantasy-m4w/6424089973.html,el paso,,2017-12-13 12:05:42,,,,2017-12-13 23:06:37.125000,CL1
,"estoy buscando una mujer guapa, amable y carinosaque sea mi asistente personal en todos los aspectos, tambien en mi casa, trabajo y negociopodemos ser amigos socios y mas si nos ayudamos mutuamente    busco chava atractiva y amable","estoy buscando una mujer guapa, amable y carinosaque sea mi asistente personal en todos los aspectos, tambien en mi casa, trabajo y negociopodemos ser amigos socios y mas si nos ayudamos mutuamente    ",busco chava atractiva y amable,https://elpaso.craigslist.org/cas/d/busco-chava-atractiva-amable/6406983499.html,el paso,chucotown,2017-11-30 10:59:50,,,,2017-12-13 23:06:39.437000,CL1
,Looking for a man to make me feel good. Just looking for some quick fun. Must be shaved and ready for pleasure. Text me soon    life change,Looking for a man to make me feel good. Just looking for some quick fun. Must be shaved and ready for pleasure. Text me soon    ,life change,https://elpaso.craigslist.org/cas/d/life-change-w4m/6420922779.html,el paso,,2017-12-11 06:44:31,,,,2017-12-13 23:06:41.360000,CL1
,"Mature bi male looking for a couple who both enjoy sucking and bottoming for a Dominant male figure. Not disrespectful or arrogant, but enjoy being on top and in control with submissive partner's.Be fit and attractive and high class. Race doesn't matter.If you're a single male, don't bother; I'm clearly asking for a couple - that means a man and a woman.    Bi top","Mature bi male looking for a couple who both enjoy sucking and bottoming for a Dominant male figure. Not disrespectful or arrogant, but enjoy being on top and in control with submissive partner's.Be fit and attractive and high class. Race doesn't matter.If you're a single male, don't bother; I'm clearly asking for a couple - that means a man and a woman.    ",Bi top,https://elpaso.craigslist.org/cas/d/bi-top-m4mw/6415615893.html,el paso,"El,Paso",2017-12-06 19:49:31,,,,2017-12-13 23:06:43.325000,CL1
,I'm a down to earth laid back guy. I'm good looking height/weight proportionate. 38 years old. Clean. I love the idea of having you show off for me. Maybe we set something up where we flash each other. Or maybe we spy each other. Either way I'd love to watch and be watched.    Voyuers exhibitionists show offs,I'm a down to earth laid back guy. I'm good looking height/weight proportionate. 38 years old. Clean. I love the idea of having you show off for me. Maybe we set something up where we flash each other. Or maybe we spy each other. Either way I'd love to watch and be watched.    ,Voyuers exhibitionists show offs,https://elpaso.craigslist.org/cas/d/voyuers-exhibitionists-show/6424159587.html,el paso,,2017-12-13 12:51:20,,,,2017-12-13 23:06:45.265000,CL1
,"I'm working by alameda and horizon nobody here just meI'm free to play I host in SocorroCome over. Do freeballing2:guys did it  last weekend. It was great.watching them grab their cocks.just park, get out of ur car and grab your dick.Please No fats No femsI can give u a good bj if u want...wanna do a freeballing for me-","I'm working by alameda and horizon nobody here just meI'm free to play I host in SocorroCome over. Do freeballing2:guys did it  last weekend. It was great.watching them grab their cocks.just park, get out of ur car and grab your dick.Please No fats No femsI can give u a good bj if u want...",wanna do a freeballing for me-,https://elpaso.craigslist.org/cas/d/wanna-do-freeballing-for-me/6424155525.html,el paso,Lv,2017-12-13 12:48:32,,,,2017-12-13 23:06:47.228000,CL1
,I'm looking for a cool laid back lady to burn one down. Nothing crazy. Obviously the chemistry has to be right if we proceed past blazing buddies. Please change subject line to your favorite color    Blazing Buddy,I'm looking for a cool laid back lady to burn one down. Nothing crazy. Obviously the chemistry has to be right if we proceed past blazing buddies. Please change subject line to your favorite color    ,Blazing Buddy,https://elpaso.craigslist.org/cas/d/blazing-buddy-m4w/6424153952.html,el paso,,2017-12-13 12:47:30,,,,2017-12-13 23:06:49.170000,CL1
,I want9one5 to meet up with a girl so she can j4two twoerk my dick n3seven 5 6ixon till I cum over and over again text me ladies    Looking to get my dick jerked off till I cum,I want9one5 to meet up with a girl so she can j4two twoerk my dick n3seven 5 6ixon till I cum over and over again text me ladies    ,Looking to get my dick jerked off till I cum,https://elpaso.craigslist.org/cas/d/looking-to-get-my-dick-jerked/6424151615.html,el paso,"El,Paso",2017-12-13 12:45:56,,,,2017-12-13 23:06:51.148000,CL1
,"I am a clean respectful gentleman, I will respect any and all boundaries you set. I have a specific fantasy... my home is for sale... I would love to have you over for a tour.... I'll show kitchen living room and sun room.... I'll mention how good looking you both are and how you lucky you are to have such a sexy woman.... I'll step away to make a phone call and allow you to discuss price.... when I come back she has her tits out and is on her knees sucking your cock.... I watch.....    Please help","I am a clean respectful gentleman, I will respect any and all boundaries you set. I have a specific fantasy... my home is for sale... I would love to have you over for a tour.... I'll show kitchen living room and sun room.... I'll mention how good looking you both are and how you lucky you are to have such a sexy woman.... I'll step away to make a phone call and allow you to discuss price.... when I come back she has her tits out and is on her knees sucking your cock.... I watch.....    ",Please help,https://elpaso.craigslist.org/cas/d/please-help-m4mw/6424146682.html,el paso,,2017-12-13 12:42:43,,,,2017-12-13 23:06:53.031000,CL1
