cl_ad_title,cl_url,cl_location,cl_ad,cl_ad_dt,cl_lat,cl_lon,cl_ad_street_addr,date_retrieved,data_source
"Bamboo massage therapy 703-789-0875",https://washingtondc.craigslist.org/nva/thp/d/bamboo-massage-therapy/6319466460.html,"Springfield,Alexandria,Dc","bamboo therapyHealing & feeling traditional massage &wellness!Achieve your best Health and quality life with therapeutic massage for men and woman!Swedish Deep tissueAcupresureReflexology Aromatherapyshow contact info6828 commerce ST #102Springfield va 22150(10am- 10pm) (Springfield medical art building)","9/24/2017 16:59",38.7823,-77.1851,"6828 commerce ST",2017-09-24,CL1
"**Edsall Therapy ** 703-914-0050",https://washingtondc.craigslist.org/nva/thp/d/edsall-therapy/6319503804.html,"Springfield,mixing,bowl","** Edsall Therapy ** Tel:  show contact info (Springfield mixing bowl)Come in and visit us today!!Call to make appointment or just walk in.Edsall Therapy6559 Edsall RoadSpringfield, VA 22151Tel:  show contact info* * * Location is just off 395; Exit 2B for Edsall Road * * ** * * * * * * * * * * * * * * * * * * * * * * * *Wonderful Licensed Massage Therapists Offering:* Deep Tissue Massage* Swedish Massage* Shiatsu Massage* Shower* Relaxing Atmosphere* * * * * * * * * * * * * * * * * * * * * *Open 10 AM - 10 PM (except holidays)VISA * MC * Discover craigslist - Map data  OpenStreetMap(google map)do NOT contact me with unsolicited services or offerspost id:  show contact info posted: 17 days ago updated: 10 days ago email to friend   best of [?]","9/24/2017 17:28",38.8029,-77.2116,NULL,2017-09-24,CL1
"_________You DESERVE the BEST MASSAGE of ALL TIME _________________",https://washingtondc.craigslist.org/nva/thp/d/you-deserve-the-best-massage/6319488485.html,"TYSON,S","_____[[___GRAND  OPENING ! ]]_____Let Our Beautiful Asian Staff Pamper U Today!Nothing Compares to Our Magical Asian MassageDeep Tissue / Swedish / Shiatsu MassageLuxurious Shower / Dry SaunaOPEN DAILY 10 TO 10~*~ Walk-Ins Welcome ~*~Treat Yourself To a Best Relaxing Asian BodyworkFeel Better Today..The Oriental Way8450 Tyco Rd. Suite-C Vienna, VA. 22182","9/24/2017 17:16",38.9335,-77.2367,"8450 Tyco Rd",2017-09-24,CL1
"MIKO'S SPA. A SPA GOER'S DREAM. EXCELLENT LOCATION AND INCREDIBLE SPA",https://washingtondc.craigslist.org/nva/thp/d/mikos-spa-spa-goers-dream/6319488360.html,"CHANTILLY,VA,MINUTES,FROM,THE,AIRPORT",""All spa-goers should be required to experience this!" "Incredible Service, Staff, Experience"   MIKO\'S SPA Luxurious Asian Massage Perfection!  Incredibly luxurious asian styled spa  STELLAR Asian Staff  very beautiful decors, spacious and clean  Swedish - Shiatsu - Deep Tissue - Acupressure  The best experience of any spa; Surpasses 5 star spas! Open Mon-Sat 10am - 8:30pm, Sun 11am - 6pm Call NOW!  show contact info   14155 Robert Paris Ct., Chantilly, VA 20151","9/24/2017 17:16",38.8867,-77.4457,"14155 Robert Paris Ct.",2017-09-24,CL1
"[[=]]__WELCOME TO BEST ASIAN MASSAGE IN TOWN!__[[=]]",https://washingtondc.craigslist.org/nva/thp/d/welcome-to-best-asian-massage/6319486725.html,"[, ]__,VIENNA,TYSONS","[[=]]__WELCOME TO BEST ASIAN MASSAGE IN TOWN!__[[=]]" Comfortable & Serene Environment! "VIP\'s Facility Is Renowned For Its ServiceThe Spa Is Absolutely Spotless, Tranquil & Very ComfortableYou Will Feel Right At Home From The Very First Moment You Walk InDeep Tissue / Swedish / Shiatsu Massage Friendly Asian StaffOpen 7 Days / 10AM TO 10PMRefreshing Table Shower 7 0 3 - 9 9 2 - 9 7 0 0  2240 Gallows Rd. Suite B Vienna, VA 22182","9/24/2017 17:15",38.9042,-77.2227,"2240 Gallows Rd",2017-09-24,CL1
"((Tranquility))= Zen= ((Asian Massage Treatment))! Total Relaxation!",https://washingtondc.craigslist.org/nva/thp/d/tranquility-zen-asian-massage/6319470883.html,"Herndon,Reston,Dulles,Sterling,Ashburn","New World Therapy provides you with the Ultimate in Massage Therapy!We offer: Shaitsu, Swedish Massage, Hot Stone Therapy, Deep Tissue and Aromatherapy Refresh with a Luxurious Table Shower. We now Offer a Choice of 4 Naturally Scented Organic Soaps!  VISIT & RELAX TODAY!  Relax in a Comfortable Private Room, with Soothing Music. Unwind with a Nice Natural Wood Hot Sauna, Never feel rushed. Enjoy a Soothing Massage with Our friendly Asian Staff Open 7 Days Call Us Now! Newly Refreshed Facilty!9:30AM to 11:00PM","9/24/2017 17:02",38.9682,-77.3971,"1039 Sterling Rd. Suite",2017-09-24,CL1
"ALL NEW! ?? OCEAN CITY MASSAGE ?? EXEMPLARY SERVICE??",https://washingtondc.craigslist.org/nva/thp/d/all-new-ocean-city-massage/6319458309.html,"ANNANDALE,VA","ANNANDALE AREA\'S BEST! All NEW Asian Bodyrub.Indulge and be rejuvenated...  OCEAN CITY MASSAGE  Indulgent Pampering and Asian Massage!!  Best Asian Staff EVER-- fact!!!!!   Swedish | Shiatsu | Deep tissue | Dry Sauna "a truly unforgettable experience."  CALL US NOW! DON\'T MISS OUT!Open 10am-10pm Every Day! CC\'s Accepted.  show contact infoAccept no substitute! We are the Best! 5029 Backlick Rd, UNIT #B, Annandale, VA 22003","9/24/2017 16:52",38.8150,-77.1868,"5029 BACKLICK RD.",2017-09-24,CL1
"?? HERNDON THERAPY | "IT JUST DOESN'T GET ANY BETTER THAN THIS!!"&#128155",https://washingtondc.craigslist.org/nva/thp/d/herndon-therapy-it-just/6319454817.html,"_HERNDON,VA","It is more than a pamper.  ELEGANT--ASIAN--BODYWORK! Serene Music, lavish private therapy rooms [[HERNDON THERAPY]] We have all you need to relax and unwind.  "Best Massage, Sauna and Relaxation ever!!!!"  Our trained staff are available for stress relieving massage. The most lovely therapists in town. Open 7 Days 10am-10pm. CC\'s Accepted. CALL TODAY!  show contact info   This spa KNOWS how to take care of you. 201 Elden Street #204, Herndon, VA 20170","9/24/2017 16:50",38.9664,-77.3689,"201 Elden Street",2017-09-24,CL1
"? OUR VERY BEST MASSEUSE - AS RATED BY YOU! ? PINE TREE SPA&#10084",https://washingtondc.craigslist.org/nva/thp/d/our-very-best-masseuse-as/6319453484.html,"FAIRFAX,VA","Our very best - as rated by you!  This is the best massage EVER!!!!      PINE TREE SPA  You will want to come back again and again. "Absolutely brilliant!! Highly recommend to everyone!"  Call NOW!!  --show contact info-- Relaxation, Deep Tissue, Swedish, and more! Table Shower and Dry Sauna too!Open Every day 10am-10pm. CC\'s Accepted9512-C Lee Highway, 2nd Floor, Fairfax, VA 22031","9/24/2017 16:49",38.8604,-77.2649,"9512-C Lee Highway",2017-09-24,CL1
"?? LET'S SEE YOU RESIST THIS | GARDEN SPA ?? NEW STAFF",https://washingtondc.craigslist.org/nva/thp/d/lets-see-you-resist-this/6319451701.html,"FAIRFAX,VA","["This Is, Without Question, The Best Spa Ever!!!   GARDEN SPA   GUARANTEED STRESS RELIEF!So Much More Than Just The BestEXTRAORDINARY is an understatement.--show contact info--   Heavenly Service - EVERYTIME!! Swedish - Shiatsu - More! Open Every day 10am-10pm. CC's Accepted.an unforgettable massage experience. 9516-B Lee Highway, Fairfax, VA 22031 "]","9/24/2017 16:47",38.8604,-77.2649,"9516-B Lee Highway",2017-09-24,CL1
